Страна;Отправка в;Отправка из;Валюта перевода;Дополнительные условия\исключения
Кыргызстан;Да;Да;USD/RUB; Приостановлена отправка переводов  в валюте EUR. Cогласно новым правилам Национального банка Киргизской Республики, переводы, отправленные из России в рублях, выдаются в рублях.*Все переводы, направленные  в USD  из РФ, стран ближнего и дальнего зарубежья будут выдаваться только в киргизских сомах (KGS), по внутреннему курсу банка получателя.*если у банка получателя не будет достаточно рублевой валюты, он может предложить Вам получить рублёвый перевод в киргизских сомах (KGS). Действуют общие лимиты :5000  USD -1 календарный день. 10 000 USD - 30 календарных дней .
Корея Южная;Нет;Да;USD/ EUR;E9pay - зачисления на счета (от них к нам).
Молдова;Да;Да;USD, EUR, RUB*;"Временно приостановлена выплата переводов в BC Comertbank Список партнеров, осуществляющих выплату в данном регионе:* Молдова:1. КБ ""Energbank"" -  USD, EUR2. ""ФинКомБанк"" - USD, EUR3. ""Агроиндбанк"" (MAIB)  - USD, EUR Также в Молдове есть возможность зачисления переводов (USD, EUR, RUB) на электронные кошельки, зачисление c конвертацией в MDL:- Bpay- Paynet *Приднестровье:  все банки выплачивают переводы  в RUB (с конвертацией в MDL) и в USD, EUR в пределах остатка наличности, если в кассе нет валюты, партнер может предложить клиенту конвертацию в нац.валюту:1. «Агропромбанк» - не осуществляет выдачу бивалютных переводов.2. ЗАО ""Приднестровский Сберегательный банк"".3. ОАО ""Эксимбанк""  - не осуществляет выдачу бивалютных переводов."
Монголия;Да;Да;RUB;Приостановлена выплата переводов  в USD у партнера Sendmn NBFI LLC Монголия.Выплата возможна только в RUB.
ОАЭ;Нет;Да;USD;
Россия;Да;Да;RUB;Переводы выдаются только в RUB
Сербия;Да;Нет;EUR;Возобновлена выплата переводов у TransferNova
Таджикистан;Да;Да;USD/RUB/EUR;
Турция;Да;Нет; TRY/USD/EUR;Возобновлена выплата переводов  в валюте EUR                                                                                                                                                                                                            Лимиты на выплату:                                                                                                                     в день 10000 USD эквивалент в EUR/TRY                                                                                     в месяц 30000 USD эквивалент EUR/TRY.
Узбекистан;Да;Да;USD/EUR/UZS;1) Хамкорбанк и Халк банк временно не выдают переводы нерезидентам Узбекистана.                                                                                                                                                                                                                                                   
Чехия;Нет;Да;USD;Партнер BESTPAY работает только на отправку
Шри-Ланка;Да;Нет;LKR;
Универсал банк - пополнение карт UZCARD;Да;Нет;UZS;Минимальная сумма зачисление 50 000 UZS Максимальная сумма зачисление 9 000 000 UZS Конвертация по FX-курсу Системы                                  
Универсал банк - пополнение карт HUMO;Да;Нет;UZS;Минимальная сумма зачисление 50 000 UZS Максимальная сумма зачисление 9 000 000 UZS Конвертация по FX-курсу Системы
Дос-Кредобанк ГО Пополнение карт Элкарт;Да;Нет;KGS;Минимальная сумма  отправки 50 RUB, либо 50 KGS (эквивалент по курсу банка на момент совершения операции).Зачисление в KGS по курсу банка-получателяМаксимальная сумма  - 50 000 KGS  Кол-во – 10 переводов в сутки Конвертация по FX-курсу Системы
ЮНИБАНК- ArCa;Да;Нет;AMD; Отправка в RUB, зачисление в AMD по курсу банка-получателя Максимальная сумма  - 75 000 руб.Кол-во не ограничено Конвертация по FX-курсу Системы 
